id,name,price,product_url,img_url,category,tags
1588887,ФУТБОЛКА | THE BEAST SMR,4 990₽,https://nikifilini.com/product/futbolka-the-beast-smr/,https://nikifilini.com/wp-content/uploads/2025/06/tishka_berserk_kontur_spina-700x932.webp,"am, evangelion, futbolki-women, june, collections, futbolki-men, clothing, unisex, t-shirts, t-shirt-evangelion, futbolki-s-printom","white, reflective"
1453549,ЛОНГСЛИВ | UNIT 01,6 190₽,https://nikifilini.com/product/longsliv-unit-01/,https://nikifilini.com/wp-content/uploads/2025/03/LONGSLEEVE-_-UNIT-01-1-700x932.jpeg,"evangelion, longslivi-women, longsleeve, longsleeves-eva, longslivi-s-printom, march, longslivi-men",purple
1450777,ЛОНГСЛИВ | NIGECHA DAMEDA,6 190₽,https://nikifilini.com/product/longsliv-nigecha-dameda/,https://nikifilini.com/wp-content/uploads/2025/03/LONGSLEEVE-_-NIGECHA-DAMEDA-1-700x932.jpeg,"evangelion, longslivi-women, longsleeve, longsleeves-eva, longslivi-s-printom, march, longslivi-men","purple, shinji"
1362889,ФУТБОЛКА | GINGER,5 690₽,https://nikifilini.com/product/futbolka-ginger/,https://nikifilini.com/wp-content/uploads/2025/01/Ginger_24.01.25-700x932.jpg,"nikifilini, stonewashed, am, evangelion, futbolki-women, collections, futbolki-men, clothing, unisex, t-shirts, futbolki-s-printom, january","black, asuka"
1362811,DENIM ДЖИНСЫ | EVA 01,23 990₽,https://nikifilini.com/product/denim-dzhinsy-eva-01/,https://nikifilini.com/wp-content/uploads/2025/01/Denim_Eva_01_24.01.25-700x932.jpg,"am, denim, dzhinsy, evangelion, collections, clothing, unisex, january","denim, in-stock"
1304076,ДЖИНСОВАЯ РУБАШКА SUMMER | EVA 01,23 990₽ Original price was: 23 990₽.11 995₽Current price is: 11 995₽.,https://nikifilini.com/product/dzhinsovaya-rubashka-summer-eva-01/,https://nikifilini.com/wp-content/uploads/2024/12/shirt_indi_01_back-700x932.webp,"am, denim, evangelion, collections, clothing, shirts, unisex","blue, in-stock"
1259194,ФУТБОЛКА | EVA00 LCL WHT,4 150₽,https://nikifilini.com/product/futbolka-eva00-lcl-wht/,https://nikifilini.com/wp-content/uploads/2021/09/futbolka12-scaled-700x932.jpg,"am, evangelion, futbolki-women, collections, futbolki-men, clothing, unisex, t-shirts, t-shirt-evangelion, futbolki-s-printom","white, rei-ayanami"
1123607,ФУТБОЛКА | GENESIS,5 100₽,https://nikifilini.com/product/futbolka-genesis/,https://nikifilini.com/wp-content/uploads/2024/07/aska-litso-700x932.jpg,"nikifilini, stonewashed, evangelion, futbolki-women, futbolki-men, clothing, unisex, t-shirts, t-shirt-evangelion, futbolki-s-printom","black, asuka"
1059042,РУБАШКА | EVA BERSERKER,11 990₽ Original price was: 11 990₽.5 995₽Current price is: 5 995₽.,https://nikifilini.com/product/rubashka-eva-berserker/,https://nikifilini.com/wp-content/uploads/2024/06/spina-eva-berserker-700x932.jpg,"nikifilini, sale, am, evangelion, collections, clothing, shirts, unisex",white
1043871,РУБАШКА | GENERAL EVA,10 990₽,https://nikifilini.com/product/rubashka-general-eva/,https://nikifilini.com/wp-content/uploads/2024/05/Eva-spina-rubashka-700x932.jpg,"nikifilini, sale, am, evangelion, clothing, shirts, unisex",white
880695,ФУТБОЛКА | ASUKA VINTAGE (Black),4 250₽,https://nikifilini.com/product/futbolka-asuka-vintage-black/,https://nikifilini.com/wp-content/uploads/2023/09/eva-chern-1-700x932.jpeg,"am, evangelion, futbolki-women, collections, futbolki-men, clothing, unisex, t-shirts, futbolki-s-printom","black, asuka"
866311,ФУТБОЛКА | ASUKA VINTAGE,4 250₽,https://nikifilini.com/product/futbolka-asuka-vintage/,https://nikifilini.com/wp-content/uploads/2023/07/aska-belaya-700x932.jpeg,"am, evangelion, futbolki-women, collections, futbolki-men, clothing, unisex, t-shirts, t-shirt-evangelion, futbolki-s-printom","white, vintage, asuka"
808139,ФУТБОЛКА | BERSERK EVA,5 790₽,https://nikifilini.com/product/futbolka-berserk-eva/,https://nikifilini.com/wp-content/uploads/2022/10/futbolka-pered-che-rnaya-BER-700x932.jpeg,"nikifilini, otaku, am, evangelion, futbolki-women, collections, futbolki-men, clothing, unisex, t-shirts, t-shirt-evangelion, futbolki-s-printom",black
786485,ПРИДВЕРНЫЙ КОВРИК | EVA00,6 990₽,https://nikifilini.com/product/rug-eva00/,https://nikifilini.com/wp-content/uploads/2022/04/IMG_3967-scaled-700x932.jpg,"nikifilini, am, others, evangelion, flooring, collections, rug-flr, soon","pink, rei-ayanami"
760855,ПОСТЕР | MISATO,3 500₽,https://nikifilini.com/product/poster-misato/,https://nikifilini.com/wp-content/uploads/2021/09/MISATO-scaled-700x932.jpg,"am, others, evangelion, art-oth, collections, poster-art, posters-eva-3, soon","pink, misato"
760870,ПОСТЕР | REI,3 500₽,https://nikifilini.com/product/poster-rei/,https://nikifilini.com/wp-content/uploads/2021/09/REI-scaled-700x932.jpg,"am, others, evangelion, art-oth, collections, poster-art, posters-eva-3, soon","red, rei-ayanami"
760876,ПОСТЕР | UNIT-02,4 300₽,https://nikifilini.com/product/poster-unit-02/,https://nikifilini.com/wp-content/uploads/2021/09/UNIT-02-scaled-700x932.jpg,"am, others, evangelion, art-oth, collections, poster-art, posters-eva-3, soon","yellow, red"
760886,ПОСТЕР | THIRD CHILD,4 300₽,https://nikifilini.com/product/poster-third-child/,https://nikifilini.com/wp-content/uploads/2021/09/THIRD-CHILD-1-scaled-700x932.jpg,"am, others, evangelion, art-oth, collections, poster-art, posters-eva-3, soon",purple
760891,ПОСТЕР | LCL,3 500₽,https://nikifilini.com/product/poster-lcl/,https://nikifilini.com/wp-content/uploads/2021/09/LCL-scaled-700x932.jpg,"am, others, evangelion, art-oth, collections, poster-art, posters-eva-3, soon","red, rei-ayanami"
762432,БОДИ | EVA00 REI,5 790₽,https://nikifilini.com/product/body-eva00-rei/,https://nikifilini.com/wp-content/uploads/2021/09/BODY-EVA00-REI-1-1-scaled-1-700x932.jpg,"am, bodi, body-eva, evangelion, collections",white
